x,y
0,13
0.05,123
0.1,129
0.15,130
0.2,130
0.25,130
0.3,130
0.35,130
0.375,130
0.39,161
0.4,166
0.4005,171
0.401,171
0.402,175
0.403,175
0.405,176
0.407,176
0.41,185
0.415,191
0.4165,191
0.418,200
0.42,201
0.425,201
0.427,201
0.4272,201
0.4273,205
0.4274,205
0.4275,205
0.43202815,205
0.434,205
0.435,205
0.436080015,207
0.437508556,207
0.44,207
0.440999184,207
0.443,210
0.44744242,211
0.447442424,211
0.45,211
0.452358431,211
0.46,211
0.4605,211
0.461,211
0.4615,211
0.462,214
0.4625,214
0.463,217
0.465,217
0.466,217
0.467,217
0.468,218
0.469,219
0.47,220
0.475,221
0.48,221
0.482,221
0.484,229
0.486,230
0.488,230
0.49,230
0.492042345,230
0.5,240
0.51,240
0.525,248
0.54,256
0.55,256
0.56,261
0.575,272
0.59,279
0.6,284
0.61,284
0.625,284
0.64,286
0.65,286
0.66,286
0.675,291
0.69,293
0.7,293
0.71,295
0.725,295
0.75,296
0.8,303
0.85,311
0.9,316
0.95,327
1,342
